Reference, Value, Footprint, Datasheet, Manufacturer, pn, Value1, Value2, digikey
"R25","RES_10K0_1%_0.125W_Thick_0805","rklib:C0805-RES","","Yageo","RC0805FR-0710KL","10K0","1% 0.125W Thick","311-10.0KCRCT-ND"
"R26","RES_10K0_1%_0.125W_Thick_0805","rklib:C0805-RES","","Yageo","RC0805FR-0710KL","10K0","1% 0.125W Thick","311-10.0KCRCT-ND"
"R27","RES_10K0_1%_0.125W_Thick_0805","rklib:C0805-RES","","Yageo","RC0805FR-0710KL","10K0","1% 0.125W Thick","311-10.0KCRCT-ND"
"R28","RES_10K0_1%_0.125W_Thick_0805","rklib:C0805-RES","","Yageo","RC0805FR-0710KL","10K0","1% 0.125W Thick","311-10.0KCRCT-ND"
"C17","CAP_10n0_50V_X7R_0805","rklib:C0805-X7R","","Yageo","CC0805KRX7R9BB103","10n0","10% 50V X7R","311-1136-1-ND"
"C18","CAP_10n0_50V_X7R_0805","rklib:C0805-X7R","","Yageo","CC0805KRX7R9BB103","10n0","10% 50V X7R","311-1136-1-ND"
"C19","CAP_10n0_50V_X7R_0805","rklib:C0805-X7R","","Yageo","CC0805KRX7R9BB103","10n0","10% 50V X7R","311-1136-1-ND"
"C20","CAP_10n0_50V_X7R_0805","rklib:C0805-X7R","","Yageo","CC0805KRX7R9BB103","10n0","10% 50V X7R","311-1136-1-ND"
"R29","RES_33R0_1%_0.125W_Thick_0805","rklib:C0805-RES","","Yageo","RC0805FR-0733RL","33R0","1% 0.125W Thick","311-33.0CRCT-ND"
"C22","CAP_100n_50V_X7R_0805","rklib:C0805-X7R","","KEMET","C0805C104K5RACTU","100n","5% 50V X7R","399-1170-1-ND"
"C21","CAP_10u0_25V_X5R_0805","rklib:C0805-X7R","","Murata Electronics North America","GRM21BR61E106MA73L","10u0","20% 25V X5R","490-10748-1-ND"
"C23","CAP_10u0_25V_X5R_0805","rklib:C0805-X7R","","Murata Electronics North America","GRM21BR61E106MA73L","10u0","20% 25V X5R","490-10748-1-ND"
"IC5","IC_NCP1117LPST33","rklib:SOT223","","ON Semiconductor","NCP1117LPST33T3G","NCP1117LPST33","LDO","NCP1117LPST33T3GOSCT-ND"
"X5","MicroMatch14","rklib:MM-14G","~","TE Connectivity AMP Connectors","1-215079-4","MicroMatch-14","-",""
"X6","HDR_02x08","rklib:IDC2x8_Pitch2.54mm","~","On Shore Technology Inc.","302-S161","","",""
"IC6","PCA9536D","rklib:SOIC8_3.9x4.9mm_Pitch1.27mm","http://www.nxp.com/documents/data_sheet/PCA9536.pdf","Texas Instruments","PCA9536DR","","",""
"C24","CAP_100n_50V_X7R_0805","rklib:C0805-X7R","","KEMET","C0805C104K5RACTU","100n","5% 50V X7R","399-1170-1-ND"
"B1","Montagewinkel","rklib:Montagewinkel","~"
"B3","Montagewinkel","rklib:Montagewinkel","~"
"B2","Montagewinkel","rklib:Montagewinkel","~"
"B4","Montagewinkel","rklib:Montagewinkel","~"
